idx,context,question,gt,pred,em
1,"In 2025, the notorious APT-44 hacker group executed a massive cyberattack. They primarily used the 'ShadowStrike' malware payload to infiltrate target networks. ShadowStrike specifically exploits the CVE-2024-9981 vulnerability. This severe zero-day vulnerability is found deep within the source code of the 'HorizonOS' software suite. HorizonOS was originally built and maintained by the vendor 'NexusTech'. In a massive corporate buyout in 2023, NexusTech was fully acquired by the parent corporation 'OmniGlobal'. OmniGlobal's rapid expansion was heavily funded by the venture capital firm 'Sequoia Alpha'. Sequoia Alpha is actively managed by its CEO, Marcus Vance. Marcus Vance is known to live in an expensive penthouse in Zurich. Zurich is a major financial hub located in Switzerland.",In what country does the CEO who manages the Venture Capital firm that funded the Parent Corp of the Vendor that built the Software exploited by the Malware used by the Hacker Group live?,Switzerland,Switzerland,True
2,"The deep-space probe 'Voyager-X' is currently traversing the Kuiper Belt. It was officially launched by the European Space Agency (ESA). To achieve such velocities, the ESA designed the experimental 'Hyper-Ion' thruster. The Hyper-Ion thruster uses a highly volatile plasma fuel known as 'Xenon-Isotope-9'. Because of its volatility, Xenon-Isotope-9 must be contained in a specialized 'Titanium-Tungsten Alloy Tank'. This specific alloy tank is forged using trace amounts of the rare earth metal 'Promethium'. The vast majority of the world's Promethium is mined in the 'Xinjiang' region. The mining operations in Xinjiang are exclusively controlled by the 'Apex Minerals' mining corp. Recently, Apex Minerals was sued for patent infringement by the prominent law firm 'Baker McKenzie'.",What is the name of the law firm that sued the mining corp that controls the region where the rare earth metal used to forge the alloy tank containing the fuel used by the thruster designed by the agency that launched the space probe is mined?,Baker McKenzie,Baker McKenzie,True
3,"The priceless masterpiece known as 'The Weeping Sun' hangs in the Louvre. It was painted in 1892 by the eccentric artist 'Vincent Blackwood'. Blackwood achieved the painting's unique vibrant blue sky by using the extremely rare 'Cerulean-V' pigment. Cerulean-V is chemically derived directly from the 'Lapis Lazuli Beta' mineral. The Lapis Lazuli Beta mineral was first discovered and cataloged by the renowned chemist 'Dr. Aris Thorne'. During his later years, Dr. Aris Thorne taught advanced biochemistry at 'Oxford University'. Much of Oxford University's chemistry department was generously funded by the billionaire philanthropist 'Lord Silas'. Lord Silas owned a massive, sprawling property known as the 'Blackwood Estate'. In a daring heist in 1999, the Blackwood Estate was robbed by the infamous international thief 'Julian The Ghost'.",What is the alias of the thief who robbed the estate owned by the philanthropist who funded the university where the chemist who discovered the mineral from which the pigment used by the artist who painted the masterpiece is derived taught?,Julian The Ghost,Julian The Ghost,True
4,"The deadly agricultural pathogen 'Zeta Mosaic Virus' is devastating farms globally. It is primarily carried and transmitted by the 'Whitefly' insect vector. The Whitefly exclusively feeds on the 'Golden Maize' crop. Golden Maize was specifically genetically modified with the 'Cry1Ab' gene to resist drought. The Cry1Ab gene was successfully patented by the controversial biotech firm 'AgriGen'. After a hostile takeover, AgriGen was completely bought out by the multinational conglomerate 'Monsanto-Bayer'. Monsanto-Bayer is officially headquartered in the city of 'Leverkusen'. Leverkusen is currently governed by its elected Mayor, 'Uwe Richrath'.",What is the name of the mayor who governs the city where the conglomerate that bought out the biotech firm that patented the gene used to modify the crop that the insect vector that carries the virus feeds on is headquartered?,Uwe Richrath,Uwe Richrath,True
5,"The chart-topping hit song 'Neon Nights' broke all streaming records last year. It was masterfully produced by the legendary producer 'Max Martin'. To capture the perfect vocal warmth, Max Martin recorded the track using the vintage 'Neumann U47' microphone. The Neumann U47 microphone was originally manufactured by the prestigious audio company 'Sennheiser'. In a recent market consolidation, Sennheiser was completely owned by the 'Sonova Holding Group'. The Sonova Holding Group currently leases its massive corporate office from the 'CBRE' real estate firm. The CBRE real estate firm was originally founded by the ambitious billionaire 'Richard Ellis'. In a highly publicized ceremony, Richard Ellis was married to the famous Hollywood actress 'Scarlett Johansson'.",Who is the actress married to the billionaire who founded the real estate firm from which the holding group that owns the audio company that manufactured the microphone used by the producer who produced the hit song leases its office?,Scarlett Johansson,Scarlett Johansson,True
6,"The highly volatile cryptocurrency token 'Dogecoin' has seen massive trading volume. It is primarily mined using the specialized 'Antminer S19j' ASIC Miner. Operating the Antminer S19j consumes a massive amount of the 'Coal' energy source. This specific coal energy is generated by the massive 'Drax Power Plant'. The Drax Power Plant unfortunately emits millions of tons of 'Carbon Dioxide' greenhouse gas. The long-term effects of Carbon Dioxide are intensely studied by the 'Potsdam Climate Institute'. The Potsdam Climate Institute is directed by the esteemed lead scientist 'Dr. Johan Rockstrom'. For his groundbreaking work, Dr. Johan Rockstrom was awarded by the 'Nobel Committee'.",What is the name of the committee that awarded the scientist who directs the institute that studies the gas emitted by the plant that generates the energy source consumed by the miner used to mine the token?,Nobel Committee,Nobel Committee,True
7,"The classic fantasy novel 'The Lord of the Rings' has sold millions of copies. The original first edition was famously printed using the elegant 'Garamond' typeface. The Garamond typeface was originally designed by the legendary 16th-century typographer 'Claude Garamond'. Claude Garamond was famously born in the small, picturesque town of 'Chantilly'. The town of Chantilly is located directly near the 'Alps' mountain range. The treacherous Alps mountain range is famously crossed by the 'Gotthard Base' railway. The Gotthard Base railway is smoothly operated by the 'Swiss Federal Transit Authority'. The Swiss Federal Transit Authority is heavily funded by the 'Ministry of Transport'.",What is the name of the ministry that funds the authority that operates the railway that crosses the mountain range near the town where the typographer who designed the typeface used to print the novel was born?,Ministry of Transport,Ministry of Transport,True
8,"The legendary athlete 'Michael Jordan' is widely considered the greatest of all time. In 1998, he famously won the 'NBA Finals' championship. During the final game, he wore his iconic red number 23 'Bulls Jersey'. That specific vintage jersey was actually made of an experimental 'Dri-FIT' fabric. Dri-FIT fabric is chemically synthesized from a highly complex 'Polyester Microfiber' polymer. This specific polymer was originally invented by the massive 'DuPont' chemical corp. However, DuPont was later heavily sued for the devastating 'Teflon Contamination' environmental disaster. The aftermath of the Teflon Contamination disaster was eventually cleaned up by the dedicated NGO 'Greenpeace'.",What is the name of the NGO that cleaned up the disaster that the chemical corp that invented the polymer used to synthesize the fabric of the jersey worn by the athlete who won the championship was sued for?,Greenpeace,Greenpeace,True
9,The exquisite culinary dish 'Beef Wellington' requires precise preparation. It is traditionally garnished with the fragrant 'Tarragon' herb. The highest quality Tarragon is uniquely grown in nutrient-rich 'Alluvial' soil type. This specific Alluvial soil is naturally found in abundance within the 'Loire Valley'. The Loire Valley's lush agriculture is irrigated directly by the 'Loire River'. Usage of the Loire River is strictly regulated by the 'European Water Commission'. The European Water Commission is currently chaired by the veteran politician 'Ursula von der Leyen'. Ursula von der Leyen was officially elected in the year '2019'.,In what year was the politician elected who chairs the commission that regulates the river that irrigates the valley where the soil type in which the herb used to garnish the dish is grown is found?,2019,2019,True
10,"The critically acclaimed open-world game 'Cyberpunk 2077' demands extreme hardware. It natively runs on the proprietary 'REDengine 4' game engine. To achieve maximum ray tracing, REDengine 4 strictly requires the 'RTX 4090' GPU. The RTX 4090 GPU is exclusively manufactured by the tech company 'Nvidia'. Producing these complex chips uses a flawless 300mm 'Silicon Wafer'. Every single Silicon Wafer is precision produced in the massive 'TSMC' foundry. The flagship TSMC foundry is located in the bustling city of 'Hsinchu'. Tragically, last week, Hsinchu was heavily hit by a devastating 'Magnitude 7.2 Earthquake' natural disaster.",What is the name of the natural disaster that hit the city where the foundry that produces the wafer used by the tech company that manufactures the GPU required by the engine that the game runs on is located?,Magnitude 7.2 Earthquake,Magnitude 7.2 Earthquake,True
